101111011110001100000100101100 01011 00110 00000 00010 10111 01010 11101 11001 00101 10001 
100001000000100100000100000100 11110 00001 00111 00110 10000 01111 01101 11101 00111 10111 
100011000101000100000100000100 11110 00001 00111 00110 10000 01111 01101 11101 00111 10111 
000000000000000000000100000000 01001 00001 00111 00110 10000 01111 01101 11101 00111 10111 
100000000000000000000000100000 10111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
100101000000100100000100000100 10000 10011 11111 10110 00100 11111 01011 11111 10010 01000 
000000000000000000000000000000 10000 00000 01001 10000 11101 01111 00001 00101 10011 01011 
110101011110000100001110100100 10101 11111 11111 00101 11000 10110 11011 11001 11110 11001 
100011101101011111111110101101 11111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
011111011111011111111110001101 11111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
000111111111011111111010001101 11111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
100011000100000100101110001101 11111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
100001000000100100011110001101 11111 01101 11011 11000 11010 00100 11001 00010 10010 00010 
100011000100000110101110001101 01111 10101 00101 10010 10110 10101 11100 00100 10101 10110 
100000000000000000001000100000 01101 01101 11010 00110 10100 11100 11110 00100 11001 11000 
100000000000000010001100100000 01101 01101 11010 00110 10100 11100 11110 00100 11001 11000 
110100000110010000100100100000 01101 01101 11010 00110 10100 11100 11110 00100 11001 11000 
100001000000000000001000100001 00110 01001 11000 10010 11100 11010 11010 01100 01010 00101 
000000000000000001010100100000 01101 01101 11010 00110 10100 11100 11110 00100 11001 11000 
011101111110110111100110010100 11001 01001 11000 10010 11100 11010 11010 01100 01010 00101 
100001100000100100000100000100 11000 10001 01011 01101 00101 10011 01011 11111 10010 01000 
010000111101011101011111110000 00010 00000 01010 01010 01100 00011 10110 01101 10101 00110 
000000000000000000000100000000 10001 11100 10010 01101 01111 00011 10000 10101 01101 10101 
010011011011011101011111110000 11110 10010 10111 11000 10001 00010 10000 00011 01001 10100 
